2m,4m,6m,mm (onlyライブたたき=>1エレガントのセット)
1,4,8,1,66018
0,7,5,2,66024
1,0,5,9,66030
0,3,2,10,66036
7,1,0,6,66042
6,0,4,4,66060
5,3,1,5,66066
4,2,5,3,66084
3,5,2,4,66090
3,1,9,1,66102
2,4,6,2,66108
1,7,3,3,66114
2,0,3,10,66120
0,6,7,1,66132
0,2,4,9,66144
7,0,2,5,66150
5,2,3,4,66174
4,5,0,5,66180
4,1,7,2,66192
3,4,4,3,66198
2,7,1,4,66204
2,3,8,1,66216
1,6,5,2,66222
0,9,2,3,66228
1,2,2,10,66234
0,5,9,0,66240
8,0,0,6,66240
0,1,6,8,66252
6,2,1,5,66264
5,1,5,3,66282
4,4,2,4,66288
4,0,9,1,66300
3,3,6,2,66306
2,6,3,3,66312
1,9,0,4,66318
1,5,7,1,66330
0,8,4,2,66336
1,1,4,9,66342
0,4,1,10,66348
0,0,8,7,66360
6,1,3,4,66372
5,4,0,5,66378
5,0,7,2,66390
4,3,4,3,66396
3,6,1,4,66402
3,2,8,1,66414
2,5,5,2,66420
1,8,2,3,66426
2,1,2,10,66432
1,4,9,0,66438
0,7,6,1,66444
1,0,6,8,66450
0,3,3,9,66456
7,1,1,5,66462
6,0,5,3,66480
5,3,2,4,66486
4,2,6,2,66504
3,5,3,3,66510
2,8,0,4,66516
2,4,7,1,66528
1,7,4,2,66534
2,0,4,9,66540
1,3,1,10,66546
0,6,8,0,66552
0,2,5,8,66564
7,0,3,4,66570
6,3,0,5,66576
5,2,4,3,66594
4,5,1,4,66600
4,1,8,1,66612
3,4,5,2,66618
2,7,2,3,66624
3,0,2,10,66630
2,3,9,0,66636
1,6,6,1,66642
0,9,3,2,66648
1,2,3,9,66654
0,5,0,10,66660
8,0,1,5,66660
0,1,7,7,66672
6,2,2,4,66684
5,1,6,2,66702
4,4,3,3,66708
3,7,0,4,66714
3,3,7,1,66726
2,6,4,2,66732
1,9,1,3,66738
2,2,1,10,66744
1,5,8,0,66750
0,8,5,1,66756
1,1,5,8,66762
0,4,2,9,66768
7,2,0,5,66774
0,0,9,6,66780
6,1,4,3,66792
5,4,1,4,66798
5,0,8,1,66810
4,3,5,2,66816
3,6,2,3,66822
3,2,9,0,66834
2,5,6,1,66840
1,8,3,2,66846
2,1,3,9,66852
1,4,0,10,66858
0,7,7,0,66864
1,0,7,7,66870
0,3,4,8,66876
7,1,2,4,66882
6,0,6,2,66900
5,3,3,3,66906
4,6,0,4,66912
4,2,7,1,66924
3,5,4,2,66930
2,8,1,3,66936
3,1,1,10,66942
2,4,8,0,66948
1,7,5,1,66954
2,0,5,8,66960
1,3,2,9,66966
8,1,0,5,66972
0,2,6,7,66984
7,0,4,3,66990
6,3,1,4,66996
5,2,5,2,67014
4,5,2,3,67020
4,1,9,0,67032
3,4,6,1,67038
2,7,3,2,67044
3,0,3,9,67050
2,3,0,10,67056
1,6,7,0,67062
0,9,4,1,67068
1,2,4,8,67074
0,5,1,9,67080
8,0,2,4,67080
0,1,8,6,67092
6,2,3,3,67104
5,5,0,4,67110
5,1,7,1,67122
4,4,4,2,67128
3,7,1,3,67134
4,0,1,10,67140
3,3,8,0,67146
2,6,5,1,67152
1,9,2,2,67158
2,2,2,9,67164
9,0,0,5,67170
0,8,6,0,67176
1,1,6,7,67182
0,4,3,8,67188
7,2,1,4,67194
6,1,5,2,67212
5,4,2,3,67218
5,0,9,0,67230
4,3,6,1,67236
3,6,3,2,67242
2,9,0,3,67248
3,2,0,10,67254
2,5,7,0,67260
1,8,4,1,67266
2,1,4,8,67272
1,4,1,9,67278
1,0,8,6,67290
0,3,5,7,67296
7,1,3,3,67302
6,4,0,4,67308
6,0,7,1,67320
5,3,4,2,67326
4,6,1,3,67332
4,2,8,0,67344
3,5,5,1,67350
2,8,2,2,67356
3,1,2,9,67362
1,7,6,0,67374
2,0,6,7,67380
1,3,3,8,67386
0,6,0,9,67392
8,1,1,4,67392
0,2,7,6,67404
7,0,5,2,67410
6,3,2,3,67416
5,2,6,1,67434
4,5,3,2,67440
3,8,0,3,67446
4,1,0,10,67452
3,4,7,0,67458
2,7,4,1,67464
3,0,4,8,67470
2,3,1,9,67476
0,9,5,0,67488
1,2,5,7,67494
0,5,2,8,67500
8,0,3,3,67500
7,3,0,4,67506
0,1,9,5,67512
6,2,4,2,67524
5,5,1,3,67530
5,1,8,0,67542
4,4,5,1,67548
3,7,2,2,67554
4,0,2,9,67560
2,6,6,0,67572
1,9,3,1,67578
2,2,3,8,67584
1,5,0,9,67590
9,0,1,4,67590
1,1,7,6,67602
0,4,4,7,67608
7,2,2,3,67614
6,1,6,1,67632
5,4,3,2,67638
4,7,0,3,67644
5,0,0,10,67650
4,3,7,0,67656
3,6,4,1,67662
2,9,1,2,67668
3,2,1,9,67674
1,8,5,0,67686
2,1,5,7,67692
1,4,2,8,67698
8,2,0,4,67704
1,0,9,5,67710
0,3,6,6,67716
7,1,4,2,67722
6,4,1,3,67728
6,0,8,0,67740
5,3,5,1,67746
4,6,2,2,67752
3,5,6,0,67770
2,8,3,1,67776
3,1,3,8,67782
2,4,0,9,67788
2,0,7,6,67800
1,3,4,7,67806
0,6,1,8,67812
8,1,2,3,67812
0,2,8,5,67824
7,0,6,1,67830
6,3,3,2,67836
5,6,0,3,67842
5,2,7,0,67854
4,5,4,1,67860
3,8,1,2,67866
4,1,1,9,67872
2,7,5,0,67884
3,0,5,7,67890
2,3,2,8,67896
9,1,0,4,67902
1,2,6,6,67914
0,5,3,7,67920
8,0,4,2,67920
7,3,1,3,67926
6,2,5,1,67944
5,5,2,2,67950
4,4,6,0,67968
3,7,3,1,67974
4,0,3,8,67980
3,3,0,9,67986
1,9,4,0,67998
2,2,4,7,68004
1,5,1,8,68010
9,0,2,3,68010
1,1,8,5,68022
0,4,5,6,68028
7,2,3,2,68034
6,5,0,3,68040
6,1,7,0,68052
5,4,4,1,68058
4,7,1,2,68064
5,0,1,9,68070
3,6,5,0,68082
2,9,2,1,68088
3,2,2,8,68094
2,1,6,6,68112
1,4,3,7,68118
0,7,0,8,68124
8,2,1,3,68124
0,3,7,5,68136
7,1,5,1,68142
6,4,2,2,68148
5,3,6,0,68166
4,6,3,1,68172
3,9,0,2,68178
4,2,0,9,68184
2,8,4,0,68196
3,1,4,7,68202
2,4,1,8,68208
2,0,8,5,68220
1,3,5,6,68226
0,6,2,7,68232
8,1,3,2,68232
7,4,0,3,68238
0,2,9,4,68244
7,0,7,0,68250
6,3,4,1,68256
5,6,1,2,68262
4,5,5,0,68280
3,8,2,1,68286
4,1,2,8,68292
3,0,6,6,68310
2,3,3,7,68316
1,6,0,8,68322
9,1,1,3,68322
1,2,7,5,68334
0,5,4,6,68340
8,0,5,1,68340
7,3,2,2,68346
6,2,6,0,68364
5,5,3,1,68370
4,8,0,2,68376
5,1,0,9,68382
3,7,4,0,68394
4,0,4,7,68400
3,3,1,8,68406
2,2,5,6,68424
1,5,2,7,68430
9,0,3,2,68430
8,3,0,3,68436
1,1,9,4,68442
0,4,6,5,68448
7,2,4,1,68454
6,5,1,2,68460
5,4,5,0,68478
4,7,2,1,68484
5,0,2,8,68490
2,9,3,0,68508
3,2,3,7,68514
2,5,0,8,68520
2,1,7,5,68532
1,4,4,6,68538
0,7,1,7,68544
8,2,2,2,68544
0,3,8,4,68556
7,1,6,0,68562
6,4,3,1,68568
5,7,0,2,68574
6,0,0,9,68580
4,6,4,0,68592
3,9,1,1,68598
4,2,1,8,68604
3,1,5,6,68622
2,4,2,7,68628
9,2,0,3,68634
2,0,9,4,68640
1,3,6,5,68646
0,6,3,6,68652
8,1,4,1,68652
7,4,1,2,68658
6,3,5,0,68676
5,6,2,1,68682
3,8,3,0,68706
4,1,3,7,68712
3,4,0,8,68718
3,0,7,5,68730
2,3,4,6,68736
1,6,1,7,68742
9,1,2,2,68742
1,2,8,4,68754
0,5,5,5,68760
8,0,6,0,68760
7,3,3,1,68766
6,6,0,2,68772
5,5,4,0,68790
4,8,1,1,68796
5,1,1,8,68802
4,0,5,6,68820
3,3,2,7,68826
2,2,6,5,68844
1,5,3,6,68850
9,0,4,1,68850
0,8,0,7,68856
8,3,1,2,68856
0,4,7,4,68868
7,2,5,0,68874
6,5,2,1,68880
4,7,3,0,68904
5,0,3,7,68910
4,3,0,8,68916
3,2,4,6,68934
2,5,1,7,68940
2,1,8,4,68952
1,4,5,5,68958
0,7,2,6,68964
8,2,3,1,68964
7,5,0,2,68970
0,3,9,3,68976
6,4,4,0,68988
5,7,1,1,68994
6,0,1,8,69000
3,9,2,0,69018
4,2,2,7,69024
3,1,6,5,69042
2,4,3,6,69048
1,7,0,7,69054
9,2,1,2,69054
1,3,7,4,69066
0,6,4,5,69072
8,1,5,0,69072
7,4,2,1,69078
5,6,3,0,69102
4,9,0,1,69108
5,2,0,8,69114
4,1,4,6,69132
3,4,1,7,69138
3,0,8,4,69150
2,3,5,5,69156
1,6,2,6,69162
9,1,3,1,69162
8,4,0,2,69168
1,2,9,3,69174
0,5,6,4,69180
7,3,4,0,69186
6,6,1,1,69192
4,8,2,0,69216
5,1,2,7,69222
4,0,6,5,69240
3,3,3,6,69246
2,6,0,7,69252
2,2,7,4,69264
1,5,4,5,69270
9,0,5,0,69270
0,8,1,6,69276
8,3,2,1,69276
0,4,8,3,69288
6,5,3,0,69300
5,8,0,1,69306
6,1,0,8,69312
5,0,4,6,69330
4,3,1,7,69336
3,2,5,5,69354
2,5,2,6,69360
9,3,0,2,69366
2,1,9,3,69372
1,4,6,4,69378
0,7,3,5,69384
8,2,4,0,69384
7,5,1,1,69390
5,7,2,0,69414
6,0,2,7,69420
4,2,3,6,69444
3,5,0,7,69450
3,1,7,4,69462
2,4,4,5,69468
1,7,1,6,69474
9,2,2,1,69474
1,3,8,3,69486
0,6,5,4,69492
7,4,3,0,69498
6,7,0,1,69504
7,0,0,8,69510
4,9,1,0,69528
5,2,1,7,69534
4,1,5,5,69552
3,4,2,6,69558
3,0,9,3,69570
2,3,6,4,69576
1,6,3,5,69582
9,1,4,0,69582
0,9,0,6,69588
8,4,1,1,69588
0,5,7,3,69600
6,6,2,0,69612
5,1,3,6,69642
4,4,0,7,69648
4,0,7,4,69660
3,3,4,5,69666
2,6,1,6,69672
2,2,8,3,69684
1,5,5,4,69690
0,8,2,5,69696
8,3,3,0,69696
7,6,0,1,69702
0,4,9,2,69708
0,0,6,10,69720
5,8,1,0,69726
6,1,1,7,69732
5,0,5,5,69750
4,3,2,6,69756
3,2,6,4,69774
2,5,3,5,69780
1,8,0,6,69786
9,3,1,1,69786
1,4,7,3,69798
0,7,4,4,69804
7,5,2,0,69810
6,0,3,6,69840
5,3,0,7,69846
4,2,4,5,69864
3,5,1,6,69870
3,1,8,3,69882
2,4,5,4,69888
1,7,2,5,69894
9,2,3,0,69894
8,5,0,1,69900
1,3,9,2,69906
0,6,6,3,69912
6,7,1,0,69924
7,0,1,7,69930
5,2,2,6,69954
4,1,6,4,69972
3,4,3,5,69978
2,7,0,6,69984
2,3,7,3,69996
1,6,4,4,70002
0,9,1,5,70008
8,4,2,0,70008
0,5,8,2,70020
0,1,5,10,70032
5,9,0,0,70038
6,2,0,7,70044
5,1,4,5,70062
4,4,1,6,70068
4,0,8,3,70080
3,3,5,4,70086
2,6,2,5,70092
9,4,0,1,70098
2,2,9,2,70104
1,5,6,3,70110
0,8,3,4,70116
7,6,1,0,70122
0,0,7,9,70140
6,1,2,6,70152
5,0,6,4,70170
4,3,3,5,70176
3,6,0,6,70182
3,2,7,3,70194
2,5,4,4,70200
1,8,1,5,70206
9,3,2,0,70206
1,4,8,2,70218
0,7,5,3,70224
1,0,5,10,70230
6,8,0,0,70236
7,1,0,7,70242
6,0,4,5,70260
5,3,1,6,70266
4,2,5,4,70284
3,5,2,5,70290
3,1,9,2,70302
2,4,6,3,70308
1,7,3,4,70314
8,5,1,0,70320
0,6,7,2,70332
0,2,4,10,70344
7,0,2,6,70350
5,2,3,5,70374
4,5,0,6,70380
4,1,7,3,70392
3,4,4,4,70398
2,7,1,5,70404
2,3,8,2,70416
1,6,5,3,70422
0,9,2,4,70428
7,7,0,0,70434
0,5,9,1,70440
8,0,0,7,70440
0,1,6,9,70452
6,2,1,6,70464
5,1,5,4,70482
4,4,2,5,70488
4,0,9,2,70500
3,3,6,3,70506
2,6,3,4,70512
1,9,0,5,70518
9,4,1,0,70518
1,5,7,2,70530
0,8,4,3,70536
1,1,4,10,70542
0,0,8,8,70560
6,1,3,5,70572
5,4,0,6,70578
5,0,7,3,70590
4,3,4,4,70596
3,6,1,5,70602
3,2,8,2,70614
2,5,5,3,70620
1,8,2,4,70626
8,6,0,0,70632
1,4,9,1,70638
0,7,6,2,70644
1,0,6,9,70650
0,3,3,10,70656
7,1,1,6,70662
6,0,5,4,70680
5,3,2,5,70686
4,2,6,3,70704
3,5,3,4,70710
2,8,0,5,70716
2,4,7,2,70728
1,7,4,3,70734
2,0,4,10,70740
0,6,8,1,70752
0,2,5,9,70764
7,0,3,5,70770
6,3,0,6,70776
5,2,4,4,70794
4,5,1,5,70800
4,1,8,2,70812
3,4,5,3,70818
2,7,2,4,70824
9,5,0,0,70830
2,3,9,1,70836
1,6,6,2,70842
0,9,3,3,70848
1,2,3,10,70854
8,0,1,6,70860
0,1,7,8,70872
6,2,2,5,70884
5,1,6,3,70902
4,4,3,4,70908
3,7,0,5,70914
3,3,7,2,70926
2,6,4,3,70932
1,9,1,4,70938
1,5,8,1,70950
0,8,5,2,70956
1,1,5,9,70962
0,4,2,10,70968
7,2,0,6,70974
0,0,9,7,70980
6,1,4,4,70992
5,4,1,5,70998
5,0,8,2,71010
4,3,5,3,71016
3,6,2,4,71022
3,2,9,1,71034
2,5,6,2,71040
1,8,3,3,71046
2,1,3,10,71052
0,7,7,1,71064
1,0,7,8,71070
0,3,4,9,71076
7,1,2,5,71082
6,0,6,3,71100
5,3,3,4,71106
4,6,0,5,71112
4,2,7,2,71124
3,5,4,3,71130
2,8,1,4,71136
2,4,8,1,71148
1,7,5,2,71154
2,0,5,9,71160
1,3,2,10,71166
0,6,9,0,71172
8,1,0,6,71172
0,2,6,8,71184
7,0,4,4,71190
6,3,1,5,71196
5,2,5,3,71214
4,5,2,4,71220
4,1,9,1,71232
3,4,6,2,71238
2,7,3,3,71244
3,0,3,10,71250
1,6,7,1,71262
0,9,4,2,71268
1,2,4,9,71274
0,5,1,10,71280
8,0,2,5,71280
0,1,8,7,71292
6,2,3,4,71304
5,5,0,5,71310
5,1,7,2,71322
4,4,4,3,71328
3,7,1,4,71334
3,3,8,1,71346
2,6,5,2,71352
1,9,2,3,71358
2,2,2,10,71364
1,5,9,0,71370
9,0,0,6,71370
0,8,6,1,71376
1,1,6,8,71382
0,4,3,9,71388
7,2,1,5,71394
6,1,5,3,71412
5,4,2,4,71418
5,0,9,1,71430
4,3,6,2,71436
3,6,3,3,71442
2,9,0,4,71448
2,5,7,1,71460
1,8,4,2,71466
2,1,4,9,71472
1,4,1,10,71478
0,7,8,0,71484
1,0,8,7,71490
0,3,5,8,71496
7,1,3,4,71502
6,4,0,5,71508
6,0,7,2,71520
5,3,4,3,71526
4,6,1,4,71532
4,2,8,1,71544
3,5,5,2,71550
2,8,2,3,71556
3,1,2,10,71562
2,4,9,0,71568
1,7,6,1,71574
2,0,6,8,71580
1,3,3,9,71586
0,6,0,10,71592
8,1,1,5,71592
0,2,7,7,71604
7,0,5,3,71610
6,3,2,4,71616
5,2,6,2,71634
4,5,3,3,71640
3,8,0,4,71646
3,4,7,1,71658
2,7,4,2,71664
3,0,4,9,71670
2,3,1,10,71676
1,6,8,0,71682
0,9,5,1,71688
1,2,5,8,71694
0,5,2,9,71700
8,0,3,4,71700
7,3,0,5,71706
0,1,9,6,71712
6,2,4,3,71724
5,5,1,4,71730
5,1,8,1,71742
4,4,5,2,71748
3,7,2,3,71754
4,0,2,10,71760
3,3,9,0,71766
2,6,6,1,71772
1,9,3,2,71778
2,2,3,9,71784
1,5,0,10,71790
9,0,1,5,71790
0,8,7,0,71796
1,1,7,7,71802
0,4,4,8,71808
7,2,2,4,71814
6,1,6,2,71832
5,4,3,3,71838
4,7,0,4,71844
4,3,7,1,71856
3,6,4,2,71862
2,9,1,3,71868
3,2,1,10,71874
2,5,8,0,71880
1,8,5,1,71886
2,1,5,8,71892
1,4,2,9,71898
8,2,0,5,71904
1,0,9,6,71910
0,3,6,7,71916
7,1,4,3,71922
6,4,1,4,71928
6,0,8,1,71940
5,3,5,2,71946
4,6,2,3,71952
4,2,9,0,71964
3,5,6,1,71970
2,8,3,2,71976
3,1,3,9,71982
2,4,0,10,71988
1,7,7,0,71994
2,0,7,7,72000
1,3,4,8,72006
0,6,1,9,72012
8,1,2,4,72012
0,2,8,6,72024
7,0,6,2,72030
6,3,3,3,72036
5,6,0,4,72042
5,2,7,1,72054
4,5,4,2,72060
3,8,1,3,72066
4,1,1,10,72072
3,4,8,0,72078
2,7,5,1,72084
3,0,5,8,72090
2,3,2,9,72096
9,1,0,5,72102
0,9,6,0,72108
1,2,6,7,72114
0,5,3,8,72120
8,0,4,3,72120
7,3,1,4,72126
6,2,5,2,72144
5,5,2,3,72150
5,1,9,0,72162
4,4,6,1,72168
3,7,3,2,72174
4,0,3,9,72180
3,3,0,10,72186
2,6,7,0,72192
1,9,4,1,72198
2,2,4,8,72204
1,5,1,9,72210
9,0,2,4,72210
1,1,8,6,72222
0,4,5,7,72228
7,2,3,3,72234
6,5,0,4,72240
6,1,7,1,72252
5,4,4,2,72258
4,7,1,3,72264
5,0,1,10,72270
4,3,8,0,72276
3,6,5,1,72282
2,9,2,2,72288
3,2,2,9,72294
1,8,6,0,72306
2,1,6,7,72312
1,4,3,8,72318
0,7,0,9,72324
8,2,1,4,72324
0,3,7,6,72336
7,1,5,2,72342
6,4,2,3,72348
6,0,9,0,72360
5,3,6,1,72366
4,6,3,2,72372
3,9,0,3,72378
4,2,0,10,72384
3,5,7,0,72390
2,8,4,1,72396
3,1,4,8,72402
2,4,1,9,72408
2,0,8,6,72420
1,3,5,7,72426
0,6,2,8,72432
8,1,3,3,72432
7,4,0,4,72438
0,2,9,5,72444
7,0,7,1,72450
6,3,4,2,72456
5,6,1,3,72462
5,2,8,0,72474
4,5,5,1,72480
3,8,2,2,72486
4,1,2,9,72492
2,7,6,0,72504
3,0,6,7,72510
2,3,3,8,72516
1,6,0,9,72522
9,1,1,4,72522
1,2,7,6,72534
0,5,4,7,72540
8,0,5,2,72540
7,3,2,3,72546
6,2,6,1,72564
5,5,3,2,72570
4,8,0,3,72576
5,1,0,10,72582
4,4,7,0,72588
3,7,4,1,72594
4,0,4,8,72600
3,3,1,9,72606
1,9,5,0,72618
2,2,5,7,72624
1,5,2,8,72630
9,0,3,3,72630
8,3,0,4,72636
1,1,9,5,72642
0,4,6,6,72648
7,2,4,2,72654
6,5,1,3,72660
6,1,8,0,72672
5,4,5,1,72678
4,7,2,2,72684
5,0,2,9,72690
3,6,6,0,72702
2,9,3,1,72708
3,2,3,8,72714
2,5,0,9,72720
2,1,7,6,72732
1,4,4,7,72738
0,7,1,8,72744
8,2,2,3,72744
0,3,8,5,72756
7,1,6,1,72762
6,4,3,2,72768
5,7,0,3,72774
6,0,0,10,72780
5,3,7,0,72786
4,6,4,1,72792
3,9,1,2,72798
4,2,1,9,72804
2,8,5,0,72816
3,1,5,7,72822
2,4,2,8,72828
9,2,0,4,72834
2,0,9,5,72840
1,3,6,6,72846
0,6,3,7,72852
8,1,4,2,72852
7,4,1,3,72858
7,0,8,0,72870
6,3,5,1,72876
5,6,2,2,72882
4,5,6,0,72900
3,8,3,1,72906
4,1,3,8,72912
3,4,0,9,72918
3,0,7,6,72930
2,3,4,7,72936
1,6,1,8,72942
9,1,2,3,72942
1,2,8,5,72954
0,5,5,6,72960
8,0,6,1,72960
7,3,3,2,72966
6,6,0,3,72972
6,2,7,0,72984
5,5,4,1,72990
4,8,1,2,72996
5,1,1,9,73002
3,7,5,0,73014
4,0,5,7,73020
3,3,2,8,73026
2,2,6,6,73044
1,5,3,7,73050
9,0,4,2,73050
0,8,0,8,73056
8,3,1,3,73056
0,4,7,5,73068
7,2,5,1,73074
6,5,2,2,73080
5,4,6,0,73098
4,7,3,1,73104
5,0,3,8,73110
4,3,0,9,73116
2,9,4,0,73128
3,2,4,7,73134
2,5,1,8,73140
2,1,8,5,73152
1,4,5,6,73158
0,7,2,7,73164
8,2,3,2,73164
7,5,0,3,73170
0,3,9,4,73176
7,1,7,0,73182
6,4,4,1,73188
5,7,1,2,73194
6,0,1,9,73200
4,6,5,0,73212
3,9,2,1,73218
4,2,2,8,73224
3,1,6,6,73242
2,4,3,7,73248
1,7,0,8,73254
9,2,1,3,73254
1,3,7,5,73266
0,6,4,6,73272
8,1,5,1,73272
7,4,2,2,73278
6,3,6,0,73296
5,6,3,1,73302
4,9,0,2,73308
5,2,0,9,73314
3,8,4,0,73326
4,1,4,7,73332
3,4,1,8,73338
3,0,8,5,73350
2,3,5,6,73356
1,6,2,7,73362
9,1,3,2,73362
8,4,0,3,73368
1,2,9,4,73374
0,5,6,5,73380
8,0,7,0,73380
7,3,4,1,73386
6,6,1,2,73392
5,5,5,0,73410
4,8,2,1,73416
5,1,2,8,73422
4,0,6,6,73440
3,3,3,7,73446
2,6,0,8,73452
2,2,7,5,73464
1,5,4,6,73470
9,0,5,1,73470
0,8,1,7,73476
8,3,2,2,73476
0,4,8,4,73488
7,2,6,0,73494
6,5,3,1,73500
5,8,0,2,73506
6,1,0,9,73512
4,7,4,0,73524
5,0,4,7,73530
4,3,1,8,73536
3,2,5,6,73554
2,5,2,7,73560
9,3,0,3,73566
2,1,9,4,73572
1,4,6,5,73578
0,7,3,6,73584
8,2,4,1,73584
7,5,1,2,73590
6,4,5,0,73608
5,7,2,1,73614
6,0,2,8,73620
3,9,3,0,73638
4,2,3,7,73644
3,5,0,8,73650
3,1,7,5,73662
2,4,4,6,73668
1,7,1,7,73674
9,2,2,2,73674
1,3,8,4,73686
0,6,5,5,73692
8,1,6,0,73692
7,4,3,1,73698
6,7,0,2,73704
7,0,0,9,73710
5,6,4,0,73722
4,9,1,1,73728
5,2,1,8,73734
4,1,5,6,73752
3,4,2,7,73758
3,0,9,4,73770
2,3,6,5,73776
1,6,3,6,73782
9,1,4,1,73782
0,9,0,7,73788
8,4,1,2,73788
0,5,7,4,73800
7,3,5,0,73806
6,6,2,1,73812
4,8,3,0,73836
5,1,3,7,73842
4,4,0,8,73848
4,0,7,5,73860
3,3,4,6,73866
2,6,1,7,73872
2,2,8,4,73884
1,5,5,5,73890
9,0,6,0,73890
0,8,2,6,73896
8,3,3,1,73896
7,6,0,2,73902
0,4,9,3,73908
6,5,4,0,73920
5,8,1,1,73926
6,1,1,8,73932
5,0,5,6,73950
4,3,2,7,73956
3,2,6,5,73974
2,5,3,6,73980
1,8,0,7,73986
9,3,1,2,73986
1,4,7,4,73998
0,7,4,5,74004
8,2,5,0,74004
7,5,2,1,74010
5,7,3,0,74034
6,0,3,7,74040
5,3,0,8,74046
4,2,4,6,74064
3,5,1,7,74070
3,1,8,4,74082
2,4,5,5,74088
1,7,2,6,74094
9,2,3,1,74094
8,5,0,2,74100
1,3,9,3,74106
0,6,6,4,74112
7,4,4,0,74118
6,7,1,1,74124
7,0,1,8,74130
4,9,2,0,74148
5,2,2,7,74154
4,1,6,5,74172
3,4,3,6,74178
2,7,0,7,74184
2,3,7,4,74196
1,6,4,5,74202
9,1,5,0,74202
0,9,1,6,74208
8,4,2,1,74208
0,5,8,3,74220
6,6,3,0,74232
5,9,0,1,74238
6,2,0,8,74244
5,1,4,6,74262
4,4,1,7,74268
4,0,8,4,74280
3,3,5,5,74286
2,6,2,6,74292
9,4,0,2,74298
2,2,9,3,74304
1,5,6,4,74310
0,8,3,5,74316
8,3,4,0,74316
7,6,1,1,74322
0,0,7,10,74340
5,8,2,0,74346
6,1,2,7,74352
5,0,6,5,74370
4,3,3,6,74376
3,6,0,7,74382
3,2,7,4,74394
2,5,4,5,74400
1,8,1,6,74406
9,3,2,1,74406
1,4,8,3,74418
0,7,5,4,74424
7,5,3,0,74430
6,8,0,1,74436
7,1,0,8,74442
6,0,4,6,74460
5,3,1,7,74466
4,2,5,5,74484
3,5,2,6,74490
3,1,9,3,74502
2,4,6,4,74508
1,7,3,5,74514
9,2,4,0,74514
8,5,1,1,74520
0,6,7,3,74532
6,7,2,0,74544
7,0,2,7,74550
5,2,3,6,74574
4,5,0,7,74580
4,1,7,4,74592
3,4,4,5,74598
2,7,1,6,74604
2,3,8,3,74616
1,6,5,4,74622
0,9,2,5,74628
8,4,3,0,74628
7,7,0,1,74634
0,5,9,2,74640
8,0,0,8,74640
0,1,6,10,74652
5,9,1,0,74658
6,2,1,7,74664
5,1,5,5,74682
4,4,2,6,74688
4,0,9,3,74700
3,3,6,4,74706
2,6,3,5,74712
1,9,0,6,74718
9,4,1,1,74718
1,5,7,3,74730
0,8,4,4,74736
7,6,2,0,74742
0,0,8,9,74760
6,1,3,6,74772
5,4,0,7,74778
5,0,7,4,74790
4,3,4,5,74796
3,6,1,6,74802
3,2,8,3,74814
2,5,5,4,74820
1,8,2,5,74826
9,3,3,0,74826
8,6,0,1,74832
1,4,9,2,74838
0,7,6,3,74844
1,0,6,10,74850
6,8,1,0,74856
7,1,1,7,74862
6,0,5,5,74880
5,3,2,6,74886
4,2,6,4,74904
3,5,3,5,74910
2,8,0,6,74916
2,4,7,3,74928
1,7,4,4,74934
8,5,2,0,74940
0,6,8,2,74952
0,2,5,10,74964
7,0,3,6,74970
6,3,0,7,74976
5,2,4,5,74994
4,5,1,6,75000
4,1,8,3,75012
3,4,5,4,75018
2,7,2,5,75024
9,5,0,1,75030
2,3,9,2,75036
1,6,6,3,75042
0,9,3,4,75048
7,7,1,0,75054
8,0,1,7,75060
0,1,7,9,75072
6,2,2,6,75084
5,1,6,4,75102
4,4,3,5,75108
3,7,0,6,75114
3,3,7,3,75126
2,6,4,4,75132
1,9,1,5,75138
9,4,2,0,75138
1,5,8,2,75150
0,8,5,3,75156
1,1,5,10,75162
6,9,0,0,75168
7,2,0,7,75174
0,0,9,8,75180
6,1,4,5,75192
5,4,1,6,75198
5,0,8,3,75210
4,3,5,4,75216
3,6,2,5,75222
3,2,9,2,75234
2,5,6,3,75240
1,8,3,4,75246
8,6,1,0,75252
0,7,7,2,75264
1,0,7,9,75270
0,3,4,10,75276
7,1,2,6,75282
6,0,6,4,75300
5,3,3,5,75306
4,6,0,6,75312
4,2,7,3,75324
3,5,4,4,75330
2,8,1,5,75336
2,4,8,2,75348
1,7,5,3,75354
2,0,5,10,75360
7,8,0,0,75366
0,6,9,1,75372
8,1,0,7,75372
0,2,6,9,75384
7,0,4,5,75390
6,3,1,6,75396
5,2,5,4,75414
4,5,2,5,75420
4,1,9,2,75432
3,4,6,3,75438
2,7,3,4,75444
9,5,1,0,75450
1,6,7,2,75462
0,9,4,3,75468
1,2,4,10,75474
8,0,2,6,75480
0,1,8,8,75492
6,2,3,5,75504
5,5,0,6,75510
5,1,7,3,75522
4,4,4,4,75528
3,7,1,5,75534
3,3,8,2,75546
2,6,5,3,75552
1,9,2,4,75558
8,7,0,0,75564
1,5,9,1,75570
9,0,0,7,75570
0,8,6,2,75576
1,1,6,9,75582
0,4,3,10,75588
7,2,1,6,75594
6,1,5,4,75612
5,4,2,5,75618
5,0,9,2,75630
4,3,6,3,75636
3,6,3,4,75642
2,9,0,5,75648
2,5,7,2,75660
1,8,4,3,75666
2,1,4,10,75672
0,7,8,1,75684
1,0,8,8,75690
0,3,5,9,75696
7,1,3,5,75702
6,4,0,6,75708
6,0,7,3,75720
5,3,4,4,75726
4,6,1,5,75732
