2M,4M,6M,MM,
3,2,0,3,5001015
0,6,1,1,5001017
1,5,0,2,5001017
7,0,2,0,5001019
0,0,2,5,5001020
6,2,1,0,5001021
7,1,0,1,5001021
0,1,0,6,5001022
5,4,0,0,5001023
2,0,6,0,5001024
1,2,5,0,5001026
2,1,4,1,5001026
3,0,3,2,5001026
0,4,4,0,5001028
1,3,3,1,5001028
2,2,2,2,5001028
3,1,1,3,5001028
4,0,0,4,5001028
0,5,2,1,5001030
1,4,1,2,5001030
2,3,0,3,5001030
0,6,0,2,5001032
6,1,2,0,5001034
7,0,1,1,5001034
0,0,1,6,5001035
5,3,1,0,5001036
6,2,0,1,5001036
4,5,0,0,5001038
1,1,6,0,5001039
2,0,5,1,5001039
0,3,5,0,5001041
1,2,4,1,5001041
2,1,3,2,5001041
3,0,2,3,5001041
0,4,3,1,5001043
1,3,2,2,5001043
2,2,1,3,5001043
3,1,0,4,5001043
0,5,1,2,5001045
1,4,0,3,5001045
6,0,3,0,5001047
5,2,2,0,5001049
6,1,1,1,5001049
7,0,0,2,5001049
0,0,0,7,5001050
4,4,1,0,5001051
5,3,0,1,5001051
1,0,7,0,5001052
3,6,0,0,5001053
0,2,6,0,5001054
1,1,5,1,5001054
2,0,4,2,5001054
0,3,4,1,5001056
1,2,3,2,5001056
2,1,2,3,5001056
3,0,1,4,5001056
0,4,2,2,5001058
1,3,1,3,5001058
2,2,0,4,5001058
0,5,0,3,5001060
5,1,3,0,5001062
6,0,2,1,5001062
4,3,2,0,5001064
5,2,1,1,5001064
6,1,0,2,5001064
3,5,1,0,5001066
4,4,0,1,5001066
0,1,7,0,5001067
1,0,6,1,5001067
2,7,0,0,5001068
0,2,5,1,5001069
1,1,4,2,5001069
2,0,3,3,5001069
0,3,3,2,5001071
1,2,2,3,5001071
2,1,1,4,5001071
3,0,0,5,5001071
0,4,1,3,5001073
1,3,0,4,5001073
5,0,4,0,5001075
4,2,3,0,5001077
5,1,2,1,5001077
6,0,1,2,5001077
3,4,2,0,5001079
4,3,1,1,5001079
5,2,0,2,5001079
0,0,8,0,5001080
2,6,1,0,5001081
3,5,0,1,5001081
0,1,6,1,5001082
1,0,5,2,5001082
1,8,0,0,5001083
0,2,4,2,5001084
1,1,3,3,5001084
2,0,2,4,5001084
9,1,0,0,5001085
0,3,2,3,5001086
1,2,1,4,5001086
2,1,0,5,5001086
0,4,0,4,5001088
4,1,4,0,5001090
5,0,3,1,5001090
3,3,3,0,5001092
4,2,2,1,5001092
5,1,1,2,5001092
6,0,0,3,5001092
2,5,2,0,5001094
3,4,1,1,5001094
4,3,0,2,5001094
0,0,7,1,5001095
1,7,1,0,5001096
2,6,0,1,5001096
0,1,5,2,5001097
1,0,4,3,5001097
0,9,0,0,5001098
9,0,1,0,5001098
0,2,3,3,5001099
1,1,2,4,5001099
2,0,1,5,5001099
8,2,0,0,5001100
0,3,1,4,5001101
1,2,0,5,5001101
4,0,5,0,5001103
3,2,4,0,5001105
4,1,3,1,5001105
5,0,2,2,5001105
2,4,3,0,5001107
3,3,2,1,5001107
4,2,1,2,5001107
5,1,0,3,5001107
1,6,2,0,5001109
2,5,1,1,5001109
3,4,0,2,5001109
0,0,6,2,5001110
0,8,1,0,5001111
1,7,0,1,5001111
0,1,4,3,5001112
1,0,3,4,5001112
8,1,1,0,5001113
9,0,0,1,5001113
0,2,2,4,5001114
1,1,1,5,5001114
2,0,0,6,5001114
7,3,0,0,5001115
0,3,0,5,5001116
3,1,5,0,5001118
4,0,4,1,5001118
2,3,4,0,5001120
3,2,3,1,5001120
4,1,2,2,5001120
5,0,1,3,5001120
1,5,3,0,5001122
2,4,2,1,5001122
3,3,1,2,5001122
4,2,0,3,5001122
0,7,2,0,5001124
1,6,1,1,5001124
2,5,0,2,5001124
0,0,5,3,5001125
8,0,2,0,5001126
0,8,0,1,5001126
0,1,3,4,5001127
1,0,2,5,5001127
7,2,1,0,5001128
8,1,0,1,5001128
0,2,1,5,5001129
1,1,0,6,5001129
6,4,0,0,5001130
3,0,6,0,5001131
2,2,5,0,5001133
3,1,4,1,5001133
4,0,3,2,5001133
1,4,4,0,5001135
2,3,3,1,5001135
3,2,2,2,5001135
4,1,1,3,5001135
5,0,0,4,5001135
0,6,3,0,5001137
1,5,2,1,5001137
2,4,1,2,5001137
3,3,0,3,5001137
0,7,1,1,5001139
1,6,0,2,5001139
0,0,4,4,5001140
7,1,2,0,5001141
8,0,1,1,5001141
0,1,2,5,5001142
1,0,1,6,5001142
6,3,1,0,5001143
7,2,0,1,5001143
0,2,0,6,5001144
5,5,0,0,5001145
2,1,6,0,5001146
3,0,5,1,5001146
1,3,5,0,5001148
2,2,4,1,5001148
3,1,3,2,5001148
4,0,2,3,5001148
0,5,4,0,5001150
1,4,3,1,5001150
2,3,2,2,5001150
3,2,1,3,5001150
4,1,0,4,5001150
0,6,2,1,5001152
1,5,1,2,5001152
2,4,0,3,5001152
7,0,3,0,5001154
0,7,0,2,5001154
0,0,3,5,5001155
6,2,2,0,5001156
7,1,1,1,5001156
8,0,0,2,5001156
0,1,1,6,5001157
1,0,0,7,5001157
5,4,1,0,5001158
6,3,0,1,5001158
2,0,7,0,5001159
4,6,0,0,5001160
1,2,6,0,5001161
2,1,5,1,5001161
3,0,4,2,5001161
0,4,5,0,5001163
1,3,4,1,5001163
2,2,3,2,5001163
3,1,2,3,5001163
4,0,1,4,5001163
0,5,3,1,5001165
1,4,2,2,5001165
2,3,1,3,5001165
3,2,0,4,5001165
0,6,1,2,5001167
1,5,0,3,5001167
6,1,3,0,5001169
7,0,2,1,5001169
0,0,2,6,5001170
5,3,2,0,5001171
6,2,1,1,5001171
7,1,0,2,5001171
0,1,0,7,5001172
4,5,1,0,5001173
5,4,0,1,5001173
1,1,7,0,5001174
2,0,6,1,5001174
3,7,0,0,5001175
0,3,6,0,5001176
1,2,5,1,5001176
2,1,4,2,5001176
3,0,3,3,5001176
0,4,4,1,5001178
1,3,3,2,5001178
2,2,2,3,5001178
3,1,1,4,5001178
4,0,0,5,5001178
0,5,2,2,5001180
1,4,1,3,5001180
2,3,0,4,5001180
6,0,4,0,5001182
0,6,0,3,5001182
5,2,3,0,5001184
6,1,2,1,5001184
7,0,1,2,5001184
0,0,1,7,5001185
4,4,2,0,5001186
5,3,1,1,5001186
6,2,0,2,5001186
1,0,8,0,5001187
3,6,1,0,5001188
4,5,0,1,5001188
0,2,7,0,5001189
1,1,6,1,5001189
2,0,5,2,5001189
2,8,0,0,5001190
0,3,5,1,5001191
1,2,4,2,5001191
2,1,3,3,5001191
3,0,2,4,5001191
0,4,3,2,5001193
1,3,2,3,5001193
2,2,1,4,5001193
3,1,0,5,5001193
0,5,1,3,5001195
1,4,0,4,5001195
5,1,4,0,5001197
6,0,3,1,5001197
4,3,3,0,5001199
5,2,2,1,5001199
6,1,1,2,5001199
7,0,0,3,5001199
0,0,0,8,5001200
3,5,2,0,5001201
4,4,1,1,5001201
5,3,0,2,5001201
0,1,8,0,5001202
1,0,7,1,5001202
2,7,1,0,5001203
3,6,0,1,5001203
0,2,6,1,5001204
1,1,5,2,5001204
2,0,4,3,5001204
1,9,0,0,5001205
0,3,4,2,5001206
1,2,3,3,5001206
2,1,2,4,5001206
3,0,1,5,5001206
9,2,0,0,5001207
0,4,2,3,5001208
1,3,1,4,5001208
2,2,0,5,5001208
5,0,5,0,5001210
0,5,0,4,5001210
4,2,4,0,5001212
5,1,3,1,5001212
6,0,2,2,5001212
3,4,3,0,5001214
4,3,2,1,5001214
5,2,1,2,5001214
6,1,0,3,5001214
0,0,9,0,5001215
2,6,2,0,5001216
3,5,1,1,5001216
4,4,0,2,5001216
0,1,7,1,5001217
1,0,6,2,5001217
1,8,1,0,5001218
2,7,0,1,5001218
0,2,5,2,5001219
1,1,4,3,5001219
2,0,3,4,5001219
9,1,1,0,5001220
0,3,3,3,5001221
1,2,2,4,5001221
2,1,1,5,5001221
3,0,0,6,5001221
8,3,0,0,5001222
0,4,1,4,5001223
1,3,0,5,5001223
4,1,5,0,5001225
5,0,4,1,5001225
3,3,4,0,5001227
4,2,3,1,5001227
5,1,2,2,5001227
6,0,1,3,5001227
2,5,3,0,5001229
3,4,2,1,5001229
4,3,1,2,5001229
5,2,0,3,5001229
0,0,8,1,5001230
1,7,2,0,5001231
2,6,1,1,5001231
3,5,0,2,5001231
0,1,6,2,5001232
1,0,5,3,5001232
0,9,1,0,5001233
9,0,2,0,5001233
1,8,0,1,5001233
0,2,4,3,5001234
1,1,3,4,5001234
2,0,2,5,5001234
8,2,1,0,5001235
9,1,0,1,5001235
0,3,2,4,5001236
1,2,1,5,5001236
2,1,0,6,5001236
7,4,0,0,5001237
4,0,6,0,5001238
0,4,0,5,5001238
3,2,5,0,5001240
4,1,4,1,5001240
5,0,3,2,5001240
2,4,4,0,5001242
3,3,3,1,5001242
4,2,2,2,5001242
5,1,1,3,5001242
6,0,0,4,5001242
1,6,3,0,5001244
2,5,2,1,5001244
3,4,1,2,5001244
4,3,0,3,5001244
0,0,7,2,5001245
0,8,2,0,5001246
1,7,1,1,5001246
2,6,0,2,5001246
0,1,5,3,5001247
1,0,4,4,5001247
8,1,2,0,5001248
0,9,0,1,5001248
9,0,1,1,5001248
0,2,3,4,5001249
1,1,2,5,5001249
2,0,1,6,5001249
7,3,1,0,5001250
8,2,0,1,5001250
0,3,1,5,5001251
1,2,0,6,5001251
6,5,0,0,5001252
3,1,6,0,5001253
4,0,5,1,5001253
2,3,5,0,5001255
3,2,4,1,5001255
4,1,3,2,5001255
5,0,2,3,5001255
1,5,4,0,5001257
2,4,3,1,5001257
3,3,2,2,5001257
4,2,1,3,5001257
5,1,0,4,5001257
0,7,3,0,5001259
1,6,2,1,5001259
2,5,1,2,5001259
3,4,0,3,5001259
0,0,6,3,5001260
8,0,3,0,5001261
0,8,1,1,5001261
1,7,0,2,5001261
0,1,4,4,5001262
1,0,3,5,5001262
7,2,2,0,5001263
8,1,1,1,5001263
9,0,0,2,5001263
0,2,2,5,5001264
1,1,1,6,5001264
2,0,0,7,5001264
6,4,1,0,5001265
7,3,0,1,5001265
3,0,7,0,5001266
0,3,0,6,5001266
5,6,0,0,5001267
2,2,6,0,5001268
3,1,5,1,5001268
4,0,4,2,5001268
1,4,5,0,5001270
2,3,4,1,5001270
3,2,3,2,5001270
4,1,2,3,5001270
5,0,1,4,5001270
0,6,4,0,5001272
1,5,3,1,5001272
2,4,2,2,5001272
3,3,1,3,5001272
4,2,0,4,5001272
0,7,2,1,5001274
1,6,1,2,5001274
2,5,0,3,5001274
0,0,5,4,5001275
7,1,3,0,5001276
8,0,2,1,5001276
0,8,0,2,5001276
0,1,3,5,5001277
1,0,2,6,5001277
6,3,2,0,5001278
7,2,1,1,5001278
8,1,0,2,5001278
0,2,1,6,5001279
1,1,0,7,5001279
5,5,1,0,5001280
6,4,0,1,5001280
2,1,7,0,5001281
3,0,6,1,5001281
4,7,0,0,5001282
1,3,6,0,5001283
2,2,5,1,5001283
3,1,4,2,5001283
4,0,3,3,5001283
0,5,5,0,5001285
1,4,4,1,5001285
2,3,3,2,5001285
3,2,2,3,5001285
4,1,1,4,5001285
5,0,0,5,5001285
0,6,3,1,5001287
1,5,2,2,5001287
2,4,1,3,5001287
3,3,0,4,5001287
7,0,4,0,5001289
0,7,1,2,5001289
1,6,0,3,5001289
0,0,4,5,5001290
6,2,3,0,5001291
7,1,2,1,5001291
8,0,1,2,5001291
0,1,2,6,5001292
1,0,1,7,5001292
5,4,2,0,5001293
6,3,1,1,5001293
7,2,0,2,5001293
2,0,8,0,5001294
0,2,0,7,5001294
4,6,1,0,5001295
5,5,0,1,5001295
1,2,7,0,5001296
2,1,6,1,5001296
3,0,5,2,5001296
3,8,0,0,5001297
0,4,6,0,5001298
1,3,5,1,5001298
2,2,4,2,5001298
3,1,3,3,5001298
4,0,2,4,5001298
0,5,4,1,5001300
1,4,3,2,5001300
2,3,2,3,5001300
3,2,1,4,5001300
4,1,0,5,5001300
0,6,2,2,5001302
1,5,1,3,5001302
2,4,0,4,5001302
6,1,4,0,5001304
7,0,3,1,5001304
0,7,0,3,5001304
0,0,3,6,5001305
5,3,3,0,5001306
6,2,2,1,5001306
7,1,1,2,5001306
8,0,0,3,5001306
0,1,1,7,5001307
1,0,0,8,5001307
4,5,2,0,5001308
5,4,1,1,5001308
6,3,0,2,5001308
1,1,8,0,5001309
2,0,7,1,5001309
3,7,1,0,5001310
4,6,0,1,5001310
0,3,7,0,5001311
1,2,6,1,5001311
2,1,5,2,5001311
3,0,4,3,5001311
2,9,0,0,5001312
0,4,5,1,5001313
1,3,4,2,5001313
2,2,3,3,5001313
3,1,2,4,5001313
4,0,1,5,5001313
0,5,3,2,5001315
1,4,2,3,5001315
2,3,1,4,5001315
3,2,0,5,5001315
6,0,5,0,5001317
0,6,1,3,5001317
1,5,0,4,5001317
5,2,4,0,5001319
6,1,3,1,5001319
7,0,2,2,5001319
0,0,2,7,5001320
4,4,3,0,5001321
5,3,2,1,5001321
6,2,1,2,5001321
7,1,0,3,5001321
1,0,9,0,5001322
0,1,0,8,5001322
3,6,2,0,5001323
4,5,1,1,5001323
5,4,0,2,5001323
0,2,8,0,5001324
1,1,7,1,5001324
2,0,6,2,5001324
2,8,1,0,5001325
3,7,0,1,5001325
0,3,6,1,5001326
1,2,5,2,5001326
2,1,4,3,5001326
3,0,3,4,5001326
0,4,4,2,5001328
1,3,3,3,5001328
2,2,2,4,5001328
3,1,1,5,5001328
4,0,0,6,5001328
9,3,0,0,5001329
0,5,2,3,5001330
1,4,1,4,5001330
2,3,0,5,5001330
5,1,5,0,5001332
6,0,4,1,5001332
0,6,0,4,5001332
4,3,4,0,5001334
5,2,3,1,5001334
6,1,2,2,5001334
7,0,1,3,5001334
0,0,1,8,5001335
3,5,3,0,5001336
4,4,2,1,5001336
5,3,1,2,5001336
6,2,0,3,5001336
0,1,9,0,5001337
1,0,8,1,5001337
2,7,2,0,5001338
3,6,1,1,5001338
4,5,0,2,5001338
0,2,7,1,5001339
1,1,6,2,5001339
2,0,5,3,5001339
1,9,1,0,5001340
2,8,0,1,5001340
0,3,5,2,5001341
1,2,4,3,5001341
2,1,3,4,5001341
3,0,2,5,5001341
9,2,1,0,5001342
0,4,3,3,5001343
1,3,2,4,5001343
2,2,1,5,5001343
3,1,0,6,5001343
8,4,0,0,5001344
5,0,6,0,5001345
0,5,1,4,5001345
1,4,0,5,5001345
4,2,5,0,5001347
5,1,4,1,5001347
6,0,3,2,5001347
3,4,4,0,5001349
4,3,3,1,5001349
5,2,2,2,5001349
6,1,1,3,5001349
7,0,0,4,5001349
0,0,0,9,5001350
2,6,3,0,5001351
3,5,2,1,5001351
4,4,1,2,5001351
5,3,0,3,5001351
0,1,8,1,5001352
1,0,7,2,5001352
1,8,2,0,5001353
2,7,1,1,5001353
3,6,0,2,5001353
0,2,6,2,5001354
1,1,5,3,5001354
2,0,4,4,5001354
9,1,2,0,5001355
1,9,0,1,5001355
0,3,4,3,5001356
1,2,3,4,5001356
2,1,2,5,5001356
3,0,1,6,5001356
8,3,1,0,5001357
9,2,0,1,5001357
0,4,2,4,5001358
1,3,1,5,5001358
2,2,0,6,5001358
7,5,0,0,5001359
4,1,6,0,5001360
5,0,5,1,5001360
0,5,0,5,5001360
3,3,5,0,5001362
4,2,4,1,5001362
5,1,3,2,5001362
6,0,2,3,5001362
2,5,4,0,5001364
3,4,3,1,5001364
4,3,2,2,5001364
5,2,1,3,5001364
6,1,0,4,5001364
0,0,9,1,5001365
1,7,3,0,5001366
2,6,2,1,5001366
3,5,1,2,5001366
4,4,0,3,5001366
0,1,7,2,5001367
1,0,6,3,5001367
0,9,2,0,5001368
9,0,3,0,5001368
1,8,1,1,5001368
2,7,0,2,5001368
0,2,5,3,5001369
1,1,4,4,5001369
2,0,3,5,5001369
8,2,2,0,5001370
9,1,1,1,5001370
0,3,3,4,5001371
1,2,2,5,5001371
2,1,1,6,5001371
3,0,0,7,5001371
7,4,1,0,5001372
8,3,0,1,5001372
4,0,7,0,5001373
0,4,1,5,5001373
1,3,0,6,5001373
6,6,0,0,5001374
3,2,6,0,5001375
4,1,5,1,5001375
5,0,4,2,5001375
2,4,5,0,5001377
3,3,4,1,5001377
4,2,3,2,5001377
5,1,2,3,5001377
6,0,1,4,5001377
1,6,4,0,5001379
2,5,3,1,5001379
3,4,2,2,5001379
4,3,1,3,5001379
5,2,0,4,5001379
0,0,8,2,5001380
0,8,3,0,5001381
1,7,2,1,5001381
2,6,1,2,5001381
3,5,0,3,5001381
0,1,6,3,5001382
1,0,5,4,5001382
8,1,3,0,5001383
0,9,1,1,5001383
9,0,2,1,5001383
1,8,0,2,5001383
0,2,4,4,5001384
1,1,3,5,5001384
2,0,2,6,5001384
7,3,2,0,5001385
8,2,1,1,5001385
9,1,0,2,5001385
0,3,2,5,5001386
1,2,1,6,5001386
2,1,0,7,5001386
6,5,1,0,5001387
7,4,0,1,5001387
3,1,7,0,5001388
4,0,6,1,5001388
0,4,0,6,5001388
5,7,0,0,5001389
2,3,6,0,5001390
3,2,5,1,5001390
4,1,4,2,5001390
5,0,3,3,5001390
1,5,5,0,5001392
2,4,4,1,5001392
3,3,3,2,5001392
4,2,2,3,5001392
5,1,1,4,5001392
6,0,0,5,5001392
0,7,4,0,5001394
1,6,3,1,5001394
2,5,2,2,5001394
3,4,1,3,5001394
4,3,0,4,5001394
0,0,7,3,5001395
8,0,4,0,5001396
0,8,2,1,5001396
1,7,1,2,5001396
2,6,0,3,5001396
0,1,5,4,5001397
1,0,4,5,5001397
7,2,3,0,5001398
8,1,2,1,5001398
0,9,0,2,5001398
9,0,1,2,5001398
0,2,3,5,5001399
1,1,2,6,5001399
2,0,1,7,5001399
6,4,2,0,5001400
7,3,1,1,5001400
8,2,0,2,5001400
3,0,8,0,5001401
0,3,1,6,5001401
1,2,0,7,5001401
5,6,1,0,5001402
6,5,0,1,5001402
2,2,7,0,5001403
3,1,6,1,5001403
4,0,5,2,5001403
4,8,0,0,5001404
1,4,6,0,5001405
2,3,5,1,5001405
3,2,4,2,5001405
4,1,3,3,5001405
5,0,2,4,5001405
0,6,5,0,5001407
1,5,4,1,5001407
2,4,3,2,5001407
3,3,2,3,5001407
4,2,1,4,5001407
5,1,0,5,5001407
0,7,3,1,5001409
1,6,2,2,5001409
2,5,1,3,5001409
3,4,0,4,5001409
0,0,6,4,5001410
7,1,4,0,5001411
8,0,3,1,5001411
0,8,1,2,5001411
1,7,0,3,5001411
0,1,4,5,5001412
1,0,3,6,5001412
6,3,3,0,5001413
7,2,2,1,5001413
8,1,1,2,5001413
9,0,0,3,5001413
0,2,2,6,5001414
1,1,1,7,5001414
2,0,0,8,5001414
5,5,2,0,5001415
6,4,1,1,5001415
7,3,0,2,5001415
2,1,8,0,5001416
3,0,7,1,5001416
0,3,0,7,5001416
4,7,1,0,5001417
5,6,0,1,5001417
1,3,7,0,5001418
2,2,6,1,5001418
3,1,5,2,5001418
4,0,4,3,5001418
3,9,0,0,5001419
0,5,6,0,5001420
1,4,5,1,5001420
2,3,4,2,5001420
3,2,3,3,5001420
4,1,2,4,5001420
5,0,1,5,5001420
0,6,4,1,5001422
1,5,3,2,5001422
2,4,2,3,5001422
3,3,1,4,5001422
4,2,0,5,5001422
7,0,5,0,5001424
0,7,2,2,5001424
1,6,1,3,5001424
2,5,0,4,5001424
0,0,5,5,5001425
6,2,4,0,5001426
7,1,3,1,5001426
8,0,2,2,5001426
0,8,0,3,5001426
0,1,3,6,5001427
1,0,2,7,5001427
5,4,3,0,5001428
6,3,2,1,5001428
7,2,1,2,5001428
8,1,0,3,5001428
2,0,9,0,5001429
0,2,1,7,5001429
1,1,0,8,5001429
4,6,2,0,5001430
5,5,1,1,5001430
6,4,0,2,5001430
1,2,8,0,5001431
2,1,7,1,5001431
3,0,6,2,5001431
3,8,1,0,5001432
4,7,0,1,5001432
0,4,7,0,5001433
1,3,6,1,5001433
2,2,5,2,5001433
3,1,4,3,5001433
4,0,3,4,5001433
0,5,5,1,5001435
1,4,4,2,5001435
2,3,3,3,5001435
3,2,2,4,5001435
4,1,1,5,5001435
5,0,0,6,5001435
0,6,3,2,5001437
1,5,2,3,5001437
2,4,1,4,5001437
3,3,0,5,5001437
6,1,5,0,5001439
7,0,4,1,5001439
0,7,1,3,5001439
1,6,0,4,5001439
0,0,4,6,5001440
5,3,4,0,5001441
6,2,3,1,5001441
7,1,2,2,5001441
8,0,1,3,5001441
0,1,2,7,5001442
1,0,1,8,5001442
4,5,3,0,5001443
5,4,2,1,5001443
6,3,1,2,5001443
7,2,0,3,5001443
1,1,9,0,5001444
2,0,8,1,5001444
0,2,0,8,5001444
3,7,2,0,5001445
4,6,1,1,5001445
5,5,0,2,5001445
0,3,8,0,5001446
1,2,7,1,5001446
2,1,6,2,5001446
3,0,5,3,5001446
2,9,1,0,5001447
3,8,0,1,5001447
0,4,6,1,5001448
1,3,5,2,5001448
2,2,4,3,5001448
3,1,3,4,5001448
4,0,2,5,5001448
0,5,4,2,5001450
1,4,3,3,5001450
2,3,2,4,5001450
3,2,1,5,5001450
4,1,0,6,5001450
9,4,0,0,5001451
6,0,6,0,5001452
0,6,2,3,5001452
1,5,1,4,5001452
2,4,0,5,5001452
5,2,5,0,5001454
6,1,4,1,5001454
7,0,3,2,5001454
0,7,0,4,5001454
0,0,3,7,5001455
4,4,4,0,5001456
5,3,3,1,5001456
6,2,2,2,5001456
7,1,1,3,5001456
8,0,0,4,5001456
0,1,1,8,5001457
1,0,0,9,5001457
3,6,3,0,5001458
4,5,2,1,5001458
5,4,1,2,5001458
6,3,0,3,5001458
0,2,9,0,5001459
1,1,8,1,5001459
2,0,7,2,5001459
2,8,2,0,5001460
3,7,1,1,5001460
4,6,0,2,5001460
0,3,7,1,5001461
1,2,6,2,5001461
2,1,5,3,5001461
3,0,4,4,5001461
2,9,0,1,5001462
0,4,5,2,5001463
1,3,4,3,5001463
2,2,3,4,5001463
3,1,2,5,5001463
4,0,1,6,5001463
9,3,1,0,5001464
0,5,3,3,5001465
1,4,2,4,5001465
2,3,1,5,5001465
3,2,0,6,5001465
8,5,0,0,5001466
5,1,6,0,5001467
6,0,5,1,5001467
0,6,1,4,5001467
1,5,0,5,5001467
4,3,5,0,5001469
5,2,4,1,5001469
6,1,3,2,5001469
7,0,2,3,5001469
0,0,2,8,5001470
3,5,4,0,5001471
4,4,3,1,5001471
5,3,2,2,5001471
6,2,1,3,5001471
7,1,0,4,5001471
1,0,9,1,5001472
0,1,0,9,5001472
2,7,3,0,5001473
3,6,2,1,5001473
4,5,1,2,5001473
5,4,0,3,5001473
0,2,8,1,5001474
1,1,7,2,5001474
2,0,6,3,5001474
1,9,2,0,5001475
2,8,1,1,5001475
3,7,0,2,5001475
0,3,6,2,5001476
1,2,5,3,5001476
2,1,4,4,5001476
3,0,3,5,5001476
9,2,2,0,5001477
0,4,4,3,5001478
1,3,3,4,5001478
2,2,2,5,5001478
3,1,1,6,5001478
4,0,0,7,5001478
8,4,1,0,5001479
9,3,0,1,5001479
5,0,7,0,5001480
0,5,2,4,5001480
1,4,1,5,5001480
2,3,0,6,5001480
7,6,0,0,5001481
4,2,6,0,5001482
5,1,5,1,5001482
6,0,4,2,5001482
0,6,0,5,5001482
3,4,5,0,5001484
4,3,4,1,5001484
5,2,3,2,5001484
6,1,2,3,5001484
7,0,1,4,5001484
0,0,1,9,5001485
2,6,4,0,5001486
3,5,3,1,5001486
4,4,2,2,5001486
5,3,1,3,5001486
6,2,0,4,5001486
0,1,9,1,5001487
1,0,8,2,5001487
1,8,3,0,5001488
2,7,2,1,5001488
3,6,1,2,5001488
4,5,0,3,5001488
0,2,7,2,5001489
1,1,6,3,5001489
2,0,5,4,5001489
9,1,3,0,5001490
1,9,1,1,5001490
2,8,0,2,5001490
0,3,5,3,5001491
1,2,4,4,5001491
2,1,3,5,5001491
3,0,2,6,5001491
8,3,2,0,5001492
9,2,1,1,5001492
0,4,3,4,5001493
1,3,2,5,5001493
2,2,1,6,5001493
3,1,0,7,5001493
7,5,1,0,5001494
8,4,0,1,5001494
4,1,7,0,5001495
5,0,6,1,5001495
0,5,1,5,5001495
1,4,0,6,5001495
6,7,0,0,5001496
3,3,6,0,5001497
4,2,5,1,5001497
5,1,4,2,5001497
6,0,3,3,5001497
2,5,5,0,5001499
3,4,4,1,5001499
4,3,3,2,5001499
5,2,2,3,5001499
6,1,1,4,5001499
7,0,0,5,5001499
0,0,0,10,5001500
1,7,4,0,5001501
2,6,3,1,5001501
3,5,2,2,5001501
4,4,1,3,5001501
5,3,0,4,5001501
0,1,8,2,5001502
1,0,7,3,5001502
0,9,3,0,5001503
9,0,4,0,5001503
1,8,2,1,5001503
2,7,1,2,5001503
3,6,0,3,5001503
0,2,6,3,5001504
1,1,5,4,5001504
2,0,4,5,5001504
8,2,3,0,5001505
9,1,2,1,5001505
1,9,0,2,5001505
0,3,4,4,5001506
1,2,3,5,5001506
2,1,2,6,5001506
3,0,1,7,5001506
7,4,2,0,5001507
8,3,1,1,5001507
9,2,0,2,5001507
4,0,8,0,5001508
0,4,2,5,5001508
1,3,1,6,5001508
2,2,0,7,5001508
6,6,1,0,5001509
7,5,0,1,5001509
3,2,7,0,5001510
4,1,6,1,5001510
5,0,5,2,5001510
0,5,0,6,5001510
5,8,0,0,5001511
2,4,6,0,5001512
3,3,5,1,5001512
4,2,4,2,5001512
5,1,3,3,5001512
6,0,2,4,5001512
1,6,5,0,5001514
2,5,4,1,5001514
3,4,3,2,5001514
4,3,2,3,5001514
5,2,1,4,5001514
6,1,0,5,5001514
0,0,9,2,5001515
0,8,4,0,5001516
1,7,3,1,5001516
2,6,2,2,5001516
3,5,1,3,5001516
4,4,0,4,5001516
0,1,7,3,5001517
1,0,6,4,5001517
8,1,4,0,5001518
0,9,2,1,5001518
9,0,3,1,5001518
1,8,1,2,5001518
2,7,0,3,5001518
0,2,5,4,5001519
1,1,4,5,5001519
2,0,3,6,5001519
7,3,3,0,5001520
8,2,2,1,5001520
9,1,1,2,5001520
0,3,3,5,5001521
1,2,2,6,5001521
2,1,1,7,5001521
3,0,0,8,5001521
6,5,2,0,5001522
7,4,1,1,5001522
8,3,0,2,5001522
3,1,8,0,5001523
4,0,7,1,5001523
0,4,1,6,5001523
1,3,0,7,5001523
5,7,1,0,5001524
6,6,0,1,5001524
2,3,7,0,5001525
3,2,6,1,5001525
4,1,5,2,5001525
5,0,4,3,5001525
4,9,0,0,5001526
1,5,6,0,5001527
2,4,5,1,5001527
3,3,4,2,5001527
4,2,3,3,5001527
5,1,2,4,5001527
6,0,1,5,5001527
0,7,5,0,5001529
1,6,4,1,5001529
2,5,3,2,5001529
3,4,2,3,5001529
4,3,1,4,5001529
5,2,0,5,5001529
0,0,8,3,5001530
8,0,5,0,5001531
0,8,3,1,5001531
1,7,2,2,5001531
2,6,1,3,5001531
3,5,0,4,5001531
0,1,6,4,5001532
1,0,5,5,5001532
7,2,4,0,5001533
8,1,3,1,5001533
0,9,1,2,5001533
9,0,2,2,5001533
1,8,0,3,5001533
0,2,4,5,5001534
1,1,3,6,5001534
2,0,2,7,5001534
6,4,3,0,5001535
7,3,2,1,5001535
8,2,1,2,5001535
9,1,0,3,5001535
3,0,9,0,5001536
0,3,2,6,5001536
1,2,1,7,5001536
2,1,0,8,5001536
5,6,2,0,5001537
6,5,1,1,5001537
7,4,0,2,5001537
2,2,8,0,5001538
3,1,7,1,5001538
4,0,6,2,5001538
0,4,0,7,5001538
4,8,1,0,5001539
5,7,0,1,5001539
1,4,7,0,5001540
2,3,6,1,5001540
3,2,5,2,5001540
4,1,4,3,5001540
5,0,3,4,5001540
0,6,6,0,5001542
1,5,5,1,5001542
